nombre_completo_cursada,profesores,enlace
Instalaciones Industriales (864) / DIseño de Instalaciones y Procesos (8303),JULIO CESAR BRANDA; CAROLINA MONTAÑA (Administración DII); EDGARDO AGUSTIN MUSUMECI; JUAN PABLO VIGNOLO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1421
Instrumentación Avanzada (3D4) (Plan 2003),GUILLERMO JOSE MURCIA; JORGE LUIS STRACK,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1573
Instrumentación Virtual (Planes 2003-2010),WALTER ANDRES GEMIN; MELISA GISELE KUZMAN,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1216
Inteligencia Computacional. Modelos de soporte a la toma de decisiones.,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1513
Introducción a Polímeros Medioambiente y reciclado (Plan 2003),,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1324
Introducción a Polímeros( Plan 2024) / Química Macromolecular (Plan 2003),SILVANA VALERIA ASMUSSEN; GABRIELA CLARISA CAMPOS; VALERIA PETTARIN,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1345
Introducción a Prácticas Socio Comunitarias,JULIETA DEL HOYO; MARIA BELEN MENA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1608
Introducción a la Bioingeniería (Planes 2003-2010),MARIELA AZUL GONZALEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1208
Introducción a la Ciencia de los Materiales (Plan 2024),ADRIAN ALBERTO CRISTOBAL; MARIA JOSE GALANTE; MARIA  ROSA KATUNAR; LUCAS SANCHEZ FELLAY,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1325
Introducción a la Física del Estado Sólido (Plan 2024) / Física de la Materia Condensada (Plan 2003),CAMILA BUONO; DANIEL ALEJANDRO MIRABELLA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1263
"Introducción a la Inteligencia Artificial: aplicaciones, herramientas y desafío",,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1398
Introducción a la Mecánica de los Fluidos (Planes 2003 y 2024),FAVIO ALEJANDRO CAMILLETTI; Marcos López; LUIS ALBERTO MINOTTO; DIEGO HERNAN SANTIAGO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1198
Introducción a la Neurociencia e Inteligencia Artificial,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1530
Introducción a la extensión universitaria,JULIETA DEL HOYO; MARIA BELEN MENA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1474
Introducción a los Procesos de Fabricación  (plan 2024) / Tecnología de la Fabricación (Plan 2003),ALEJANDRO RAUL REUTEMANN,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1172
Introducción al Desempeño Profesional de la Ingeniería,ULISES MARTIN CASADO; PABLO EZEQUIEL MONTEMARTINI; MARCOS GABRIEL TISSERA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1327
Introducción al Modelado Computacional (Plan 2024),ADRIAN PABLO CISILINO; LUCAS COLABELLA; NICOLAS SCHEGGIA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1674
Introducción al análisis de riesgos en la inocuidad de alimentos,SILVINA PAOLA AGUSTINELLI; GABRIELA LEONOR SANCHEZ PASCUA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1291
Investigación Operativa (822)/Investigación de Operaciones (8410),JEREMIAS JUAN ISPIZUA; CAROLINA MONTAÑA (Administración DII); NICOLAS AGUSTIN PALERMO; MARCOS GERMAN SCHUALLE; LUCIANA BELEN TABONE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1422
Investigación Operativa A (8201),IGNACIO DANIEL BOLOQUY; ALEJANDRA MARIA ESTEBAN; CAROLINA MONTAÑA (Administración DII); JOSE IGNACIO NICOLAO GARCIA; ADOLFO EDUARDO ONAINE; MARCOS GERMAN SCHUALLE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1582
Jornada de Ingeniería Industrial de puertas abiertas - 2025,MARIELA BEATRIZ AMBRUSTOLO; FABRICIO MARIO BASSO; MARIA BETINA BERARDI; MARIA VICTORIA D'ONOFRIO; ALEJANDRA MARIA ESTEBAN; MAURICIO JAVIER MACKENZIE; JOSE ISAAC MELIAN; MARINA ALEJANDRA MIGUELES; CAROLINA MONTAÑA (Administración DII); OSCAR ANTONIO MORCELA; PAOLA PRESTES; LUCIANA BELEN TABONE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1452
Jornada de Ingeniería Industrial de puertas abiertas - 2026,MARIA VICTORIA D'ONOFRIO; CAROLINA MONTAÑA (Administración DII); OSCAR ANTONIO MORCELA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1716
Laboratorio I,JUAN IGNACIO MORAN; Fabricio Pietrani; MARIA CAMILA QUINTANA; FEDERICO RUEDA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1347
Laboratorio de Quimica de los Alimentos (Plan 2003),MARIA VICTORIA ALVAREZ; MARIA GABRIELA GOÑI; ALEJANDRA GRACIELA PONCE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1331
Laboratorio de Química II (Plan 2003),GUSTAVO ABEL ABRAHAM; CARLOS GUSTAVO DIAZ; SANDRA SILVIA GONZALEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1320
Laboratorio de Reactores y Control (Plan 2003),CANDELA ROCIO BARBISAN; NICOLAS CABOT; CARLA DI LUCA; IGNACIO DURRUTY; FRANCISCO DANIEL MARTINEZ; ANTONELA BEATRIZ OROFINO; FRANCO GONZALO REGALINI; JULIETA FABIENNE UICICH,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1326
Laboratorio de investigación 1,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1524
Laboratorio de investigación 2,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1525
Liderazgo y Responsabilidad Social (871) / Liderazgo y desarrollo Sostenible (8524),JUAN PABLO GRAMMATICO; MAURICIO JAVIER MACKENZIE; CAROLINA MONTAÑA (Administración DII),https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1410
Logística (883) / Gestión de la Logísitica Integral y Cadena de Suministros (8307),MARIA BETINA BERARDI; ALBERTO MANUEL LOPEZ; CAROLINA MONTAÑA (Administración DII),https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1436
Lógica en Programación,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1531
Mantenimiento de Maquinas Eléctricas (Plan 2003),JORGE LUIS STRACK; OSCAR ALBERTO TREVISANI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1376
Marco Regulatorio de la Energía Eléctrica,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1505
Marketing Industrial (847) / Gestión Comercial de las Organizaciones (8306),RICARDO DANIEL DE ELORZA; CAROLINA MONTAÑA (Administración DII); CARLOS JOAQUIN NEGRI; GONZALO EZEQUIEL RANA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1446
Matemática Avanzada,CARLOS ANTONIO CHIURO; GABRIELA MESSINEO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1162
Materiales Electrocerámicos,MIRIAM SUSANA CASTRO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1335
Materiales Eléctricos (Plan 2003),CARLOS ALBERTO AGUERO; LEONARDO DAVID NICOLINI; JUAN MANUEL VIGNERTE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1383
Materiales Especiales,YUK MING XAVIER HUNG HUNG; LEANDRO ALFREDO RAMAJO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1336
Materiales Estructurales (Plan 2024),BERNARDO DAGA; DIEGO OMAR FERNANDINO; MARIA PAULA GONZALEZ; YUK MING XAVIER HUNG HUNG; JUAN MIGUEL MASSONE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1709
Materiales I (Plan 2024),LUIS EDUARDO JAVIER AMATO; ANIBAL CARLOS DI LUCH; DIEGO OMAR FERNANDINO; MARIA PAULA GONZALEZ; YUK MING XAVIER HUNG HUNG; JUAN MIGUEL MASSONE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1678
Materiales II (Plan 2024),LUIS EDUARDO JAVIER AMATO; ROBERTO ENRIQUE BOERI; BERNARDO DAGA; PABLO HECTOR DAVID; ANIBAL CARLOS DI LUCH; RICARDO CESAR DOMMARCO; DIEGO OMAR FERNANDINO; MARIA PAULA GONZALEZ; NICOLAS ISPIZUA; ALEJO DANIEL MANDRI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1722
Mecanica de Materiales y Componentes (Plan 2024),Abigail Araujo; HERNAN GUILLERMO KUNERT; ESTEBAN ENRIQUE RUBERTIS,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1719
Mecanismos de Integración Económica (840)/ Desarrollo Económico y Comercio Internacional (8418),MARIA VICTORIA D'ONOFRIO; MAURICIO JAVIER MACKENZIE; CAROLINA MONTAÑA (Administración DII),https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1447
Mecanismos y Elementos de Maquinas (Plan 2003),Gonzalo Martín Bascones; ROBERTO RAFAEL FERNANDEZ; RICARDO JAVIER ZUCAL,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1184
Mecanismos y Elementos de la Mecánica (Plan 2024),AUGUSTO ALE; LAURENCIO PAEZ; ISAIAS VIDAL; Exequiel Zornetta; RICARDO JAVIER ZUCAL,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1597
Mecánica Computacional (Plan 2003),ADRIAN PABLO CISILINO; NICOLAS SCHEGGIA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1173
Mecánica de la Partícula y del Cuerpo Rígido (Plan 2024) / Mecánica Racional (Plan 2003),,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1178
Mecánica del Sólido III (Plan 2003),ADRIAN PABLO CISILINO; NICOLAS SCHEGGIA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1183
Mediciones Electrónicas (Plan 2003),MARCOS ALAN FUNES; CRISTIAN EMANUEL ORDOÑEZ; ESTEBAN AITOR ZAPIRAIN,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1228
Mediciones Eléctricas B (Plan 2024) / Mediciones Eléctricas II (Plan 2003),HERNÁN DARÍO ANTERO; JUAN FRANCISCO MARTINEZ; GUILLERMO JOSE MURCIA; JORGE LUIS STRACK; JUAN MANUEL VIGNERTE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1389
Mercado Eléctrico,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1501
Metales,RICARDO CESAR DOMMARCO; DIEGO OMAR FERNANDINO; ALEJO DANIEL MANDRI; JUAN MIGUEL MASSONE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1480
Metalurgia Aplicada y Materiales (Plan 2003),LUIS EDUARDO JAVIER AMATO; ROBERTO ENRIQUE BOERI; BERNARDO DAGA; PABLO HECTOR DAVID; ANIBAL CARLOS DI LUCH; RICARDO CESAR DOMMARCO; DIEGO OMAR FERNANDINO; MARIA PAULA GONZALEZ; NICOLAS ISPIZUA; ALEJO DANIEL MANDRI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1197
Metodologías de Resolución de Problemas Tecnológicos y de Gestión,PABLO ERNESTO AGUERRE; FRANCISCO JOSE ALVAREZ; ANTONIO ADRIAN ARCIENAGA MORALES,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1681
Metrología dimensional (Plan 2003),DIEGO COLOMBO; AMADEO DANIEL SOSA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1169
Metrología e Introducción a la Fabricación (Plan 2024),,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1712
Microbiología de Alimentos (Plan 2003),ALEJANDRA GRACIELA PONCE; MARIA FLORENCIA SILVA BARNI; ERIKA ALEJANDRA WOLSKI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1323
Modelado y Simulación de Materiales,JUAN IGNACIO MORAN; AGUSTIN EMILIO SISAMON,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1348
"Modelización y Predicción con Tecnologías Emergentes (Planes 2003-2010,  4O7)",ESTEFANY GABRIELA CUJANO AYALA; NOELIA INES ECHEVERRIA; GUSTAVO JAVIER MESCHINO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1206
Modelos y Simulación (Plan 2010),JUAN IGNACIO ITURRIAGA; FRANCO LANZILLOTTA; PABLO ARMANDO MONTINI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1275
Muestra Educativa Online Facultad Ingenieria,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1157
Máquinas Eléctricas II (3M2) (Plan 2003),JULIO CESAR BRANDA; LEONARDO DAVID NICOLINI; JUSTO JOSÉ ROBERTS; JORGE LUIS STRACK; OSCAR ALBERTO TREVISANI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1391
Máquinas y Equipos Industriales I (ING3209) (Plan 2024),GUSTAVO LUIS FERRO; RAUL EDUARDO LOPRESTI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1578
Módulo Física Básica,PABLO ACOSTA HAAB; MARIA PIA BASUALDO; CARMEN BENITEZ; PABLO R. CORTEZ TORNELLO; MARIA ELENA DEGAUDENZI; NICOLAS EZEQUIEL GRILLI; AGUSTINA BELEN LEONARDI; FABRICIO MATEO MARTINEZ; JUAN CARLOS RODRIGUEZ; MATIAS ANTONIO VALDIVIA GOITIA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1406
Módulo Matemática,CARLOS ANTONIO CHIURO; ANABELLA SOLEDAD DI MARCO; VENIERO GALLINI; GERMAN ALFREDO PECKER; MIRIAM GRACIELA PELLICER; MARIA CARMEN QUERCIA; GASTON GABRIEL TISSONI; JULIETA SOL VAZQUEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1407
Módulo Química,MARIA PIA BASUALDO; CARMEN BENITEZ; CRISTINA SILVIA CORDON; MARIA GABRIELA GOÑI; JIMENA SOLEDAD GONZALEZ; JOSEFA FABIANA MARTUCCI; PAOLA ANDREA MASSA; CLAUDIO JAVIER PEREZ; MARCO JULIO SANCHEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1405
"Narrativa, ambientación y composición visual I",,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1557
Nociones básicas de Base de Datos Relacionales,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1395
Operaciones Unitarias I (Plan 2024) / Transferencia de Cantidad de Movimiento (Plan 2003),JULIO EDUARDO BENGOCHEA; Bianca Bietti Managó; MARÍA VICTORIA DEL PÓPOLO GRZONA; MARIA FLORENCIA DONATO; IGNACIO DURRUTY; FELIPE FAGES; MARTIN PETRILLO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1295
Operaciones Unitarias II - Química y Alimentos (Plan 2024),MARIA ALEJANDRA AYUDE; GUILLERMINA CAPIEL; EMILIANO MANUEL CIANNAMEA; MARÍA VICTORIA DEL PÓPOLO GRZONA; MARIA SOL MELUCCI GANZARAIN; Lautaro Teper Marinelli,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1292
Optimización y mejora de la producción de agroalimentos seguros y sostenibles,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1528
Organización de Datos (Plan 2010),VALERIA ALEJANDRA DI CROCE; HERNAN HINOJAL; Franco Kühn; CARLOS ALBERTO RICO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1273
Organización y Dirección Industrial III (866) / Administración Estratégica (8302),SERGIO ALEJANDRO COMPANY; RAUL NESTOR DEMATTEIS; MATIAS DANIEL GONZALEZ TRIGO; SEBASTIAN EZEQUIEL LAROCCA; CAROLINA MONTAÑA (Administración DII); PAOLA PRESTES,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1428
Orientación al Estudiante DIQyA,MARIA VICTORIA ALVAREZ; SILVESTRE MANUEL BONGIOVANNI ABEL; VIVIANA PAOLA CYRAS; LAURA ALEJANDRA FASCE; MARIA ALEJANDRA FRONTINI; MARIA GABRIELA GOÑI; PAOLA ANDREA MASSA; ANTONELA BEATRIZ OROFINO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1551
PPS DII,CAROLINA MONTAÑA (Administración DII); OSCAR ANTONIO MORCELA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1419
PPS-INFORMATICA,VALERIA ALEJANDRA DI CROCE; FERNANDO JAVIER GENIN; CARLOS ALBERTO RICO; ADOLFO TOMAS SPINELLI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1289
PSC Alimentación a conciencia,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1479
Planeamiento de Parques Eólicos,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1510
Polímeros,FACUNDO IGNACIO ALTUNA; LILIANA BEATRIZ MANFREDI; PABLO MARCELO STEFANI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1483
"Políticas y Marco Normativo de Ciencia, Tecnología e Innovación",FRANCISCO JOSE ALVAREZ; OSCAR GALANTE; LETICIA IGLESIAS,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1736
Practicas Profesionales Supervisadas- Materiales,JOSEFINA BALLARRE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1356
Principios de Electrónica (Plan 2024) | Introducción a la Electrónica IE-IEM (Plan 2003),NOELIA INES ECHEVERRIA; GONZALO ROBERTO FONTANELLA; FACUNDO IGNACIO ROLDAN,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1242
Principios de Seguridad Informática (Plan 2024),MATIAS NICOLAS HADAD; CRISTIAN HERNAN LOPEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1751
"Probabilidad, Estadística y Procesos Estocásticos (Plan 2024) / Probabilidad y Procesos Estocásticos (Plan 2003)",GUILLERMO NESTOR ABRAS; DIEGO SEBASTIAN COMAS; LUCIANO DI IORIO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1563
Problemáticas de la Gestión de Organizaciones Innovadoras - 3ra Cohorte,PABLO ERNESTO AGUERRE; FRANCISCO JOSE ALVAREZ; ANTONIO ADRIAN ARCIENAGA MORALES,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1689
Procesamiento de Polímeros,LEANDRO NICOLAS LUDUEÑA; FLORENCIA MONTINI BALLARIN; MARIA CAMILA QUINTANA; AGUSTIN EMILIO SISAMON,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1349
Procesos Biotecnológicos (Plan 2003),MIRNA ALEJANDRA MOSIEWICKI; SILVIA ELENA MURIALDO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1309
Procesos de Fabricación I (Plan 2024),AMADEO DANIEL SOSA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1713
Producción de Cerveza Artesanal - Aspectos tecnológicos,JULIETA DEL HOYO; IGNACIO DURRUTY; SEBASTIAN OSCAR MAESTRI; LORENA PAOLA MANFREDI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1399
Programa I.DEAR.,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1160
Programa de Acompañamiento al Estudiante,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1151
Programa de Seguimiento de Trayectorias Estudiantiles,OSCAR ANTONIO MORCELA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1687
Programacion A (Plan 2024),Erik Gabriel BORGNIA GIANNINI; SANDRA CIRIMELO; CLAUDIO JOSE GEA; FRANCO LANZILLOTTA; SANTIAGO NICOLS LAPIANA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1267
Programación B (Plan 2024),SANDRA CIRIMELO; CLAUDIO JOSE GEA; SANTIAGO NICOLS LAPIANA; BRAULIO LEONEL PABLOS DI MARCO; MARCO LUIS VIOLA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1270
Programación C (Plan 2024) / Programación III (Plan 2010),LUCAS DE LELLIS; IVONNE GELLON; LEONEL DOMINGO GUCCIONE; CARLOS GUILLERMO LAZZURRI; MICAELA RASSO; ADOLFO TOMAS SPINELLI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1264
Programación III (Plan 2024),PABLO DANIEL SPENNATO; MARCO LUIS VIOLA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1721
Programación Inicial,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1532
Propiedades Estructurales I,LUIS EDUARDO JAVIER AMATO; ALEJANDRO DANIEL BASSO; ROBERTO ENRIQUE BOERI; LISANDRO ESCALADA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1343
Prospectiva y Planeamiento Estratégico,FRANCISCO JOSE ALVAREZ; PAOLA LARROSA; ADRIANA SANCHEZ RICO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1737
Prototipos Mecánicos Virtuales (Plan 2003),,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1203
Proyecto Fortaleciendo Kaizen,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1396
Proyecto Integrador I (Plan 2024),Anibal Norberto Cassanelli; PABLO CESAR CATTANEO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1750
Proyecto Transversal C I (Plan 2024),FABRICIO MARIO BASSO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1672
Proyecto Transversal C III (Plan 2024),CRISTIAN EMANUEL ORDOÑEZ; RODRIGO EZEQUIEL RUSSO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1747
Proyecto Transversal III / Proyecto Transversal C II (Plan 2024),WALTER ANDRES GEMIN; ESTEBAN LUCIO GONZALEZ; RODRIGO EZEQUIEL RUSSO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1595
Proyecto Transversal V (Plan 2024),MATIAS NICOLAS HADAD; PABLO FEDERICO GABRI SILVONI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1611
Proyecto Transversal VI (Plan 2024),JORGE CASTIÑEIRA MOREIRA; BRIAN MAXIMILIANO GLUZMAN,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1748
Proyecto de Ingeniería Industrial III,GUILLERMO ADRIAN CARRIZO; PABLO ARIEL DELMONTE; CAROLINA MONTAÑA (Administración DII); OSCAR ANTONIO MORCELA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1686
"Proyecto de Investigación: Evaluación No Destructiva. Problemas inversos, Modelado y Simulación Computacional",,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1404
Práctica Profesional Supervisada,SILVIA MARCELA CERE; SILVINA PEREZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1317
Prácticas Profesionales Supervisadas (PPS) - Ingeniería en Electrónica y Computación (Planes 2003-2010),,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1255
Química Analítica (Plan 2003),SILVESTRE MANUEL BONGIOVANNI ABEL; YANINA BELEN FARIAS; CRISTINA ELENA HOPPE; JOSEFA FABIANA MARTUCCI; ANDRES PEPE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1315
Química Biológica (Plan 2024),MARIA ROBERTA ANSORENA; Ariel Gonzalez; LUCAS PAN,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1682
Química General II (Plan 2003),Gonzalo Ezequiel Butavand; PAOLA ANDREA MASSA; CINTIA ANABELA MAZZUCOTELLI; MARIA DE LA PAZ MIGUEL; MARCO JULIO SANCHEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1314
Química General e Inorgánica - 1er Cuatrimestre,MARIA SOLEDAD ALVAREZ CERIMEDO; SILVESTRE MANUEL BONGIOVANNI ABEL; MELISA BERENICE BONICA; PABLO MARTIN BOTTA; JUAN MANUEL BUFFA; PAULA MARIELA DESIMONE; YANINA BELEN FARIAS; VANESA MARIA FUCHS; MARIA PAULA GIACOMINI; LILIANA BEATRIZ MANFREDI; MARCOS NAHUEL MOLINE; Raúl Ariel Procaccini,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1544
Química General e Inorgánica - 2do Cuatrimestre,MARIA SOLEDAD ALVAREZ CERIMEDO; PABLO MARTIN BOTTA; JUAN MANUEL BUFFA; JIMENA SOLEDAD GONZALEZ; LILIANA BEATRIZ MANFREDI; MARCOS NAHUEL MOLINE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1553
Química del Estado Sólido (Plan 2024) / Química del Sólido (Plan 2003),MARIANA BERRUET; EXEQUIEL SANTOS RODRIGUEZ; ANALIA GLADYS TOMBA MARTINEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1339
Redes Eléctricas Inteligentes,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1497
Redes y Comunicación de Datos A (Plan 2024),JOSE FRANCISCO CATALDO; HERNAN HINOJAL; Franco Kühn,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1744
Responsabilidad Social Empresaria,CAROLINA MONTAÑA (Administración DII),https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1449
Robótica Aplicada (Planes 2003-2010),WALTER ANDRES GEMIN; JUAN MANUEL LOPEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1217
Seguridad en Sistemas (Plan 2010),CARLOS ALBERTO RICO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1271
"Seguridad, Higiene y Saneamiento Ambiental (836) / Seguridad y Salud Ocupacional (8412)",DANIEL ADRIAN GALLO; CAROLINA MONTAÑA (Administración DII); EDGARDO AGUSTIN MUSUMECI; MARIA CLARA PINTO; GUILLERMO GABRIEL VALOTTO; ALEJANDRA ANDREA VIADAS; JUAN PABLO VIGNOLO; MARISA BETINA VILLIAN,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1438
Seminario de Biocombustibles,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1517
Seminario de Energía Undimotriz,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1520
Seminario de Energía y Medio Ambiente,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1518
Seminario de Energías Alternativas Termomecánicas,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1515
Seminario de Energías Renovables (Plan 2024),ISAIAS VIDAL; RICARDO JAVIER ZUCAL,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1614
Seminario de Medidores de Energía Inteligentes,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1519
Seminario de Operación y Mantenimiento de Parques Eólicos,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1523
Seminario de Planeamiento Energético,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1521
Seminario de Vehículos Eléctricos,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1522
Seminario la Biomasa como Fuente de Energía,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1516
Servicios de red Basados en Software libre (Plan 2010),MARTIN IGNACIO CASAS; HERNAN HINOJAL,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1272
Señales y Sistemas de Tiempo Discreto (Plan 2024),CARLOS MARTIN ORALLO; ESTEBAN NAHUEL REVELLI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1685
Simulación y Optimización de Sistemas Energéticos,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1514
Sistema de Educación a Distancia,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1155
Sistemas CAD (3T5) (Plan 2003),HECTOR GERARDO BLASQUEZ; ROBERTO DI GIOVANNI; FRANCISCO DIEGO GARCIA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1370
